Model,MAE (INR),RMSE (INR),R2 Score,MAPE Accuracy (%),Within ±1% Error (%),Within ±2% Error (%),Dir. Accuracy (%),Precision (%),Recall (%),F1 Score,F2 Score
Linear Regression (Primary),5.7178,9.3985,0.9875,99.59,94.02,98.37,50.0,50.0,100.0,0.6667,0.8333
Random Forest Regressor (Benchmark),5.6649,9.2957,0.9878,99.59,93.48,98.37,52.17,51.16,95.65,0.6667,0.8148
