Date,Open,High,Low,Close,Volume,SMA_5_Open,SMA_10_Open,Daily_Return,Return_1d,Return_2d,Return_3d,Return_5d,EMA_9,EMA_21,EMA_Spread,RSI_14,MACD,MACD_Signal,MACD_Hist,Daily_Volatility,Rolling_Volatility_10,ATR_14,Intraday_Sentiment,Overnight_Gap,Next_Day_Open,Target_Gap,Target_Direction
2021-01-20,932.8757934570312,949.7666625976562,923.645751953125,948.2437133789062,30924537,911.0699096679688,900.5984680175782,1.899421576105254,1.8994215761052535,3.5661191879058807,6.051767186437362,5.977927212599465,915.3655698220805,910.8819905296307,4.483579292449804,58.788891823141405,1.7571534807991611,-3.1703498435128776,4.927503324312038,26.12091064453125,22.025073242187467,20.882864815848198,15.367919921875,2.3074951171875,960.8426513671876,12.598937988281364,1
2021-01-21,960.8426513671876,978.379638671875,957.6121826171876,968.8727416992188,39087742,923.7150024414062,908.0516906738281,2.175498558994337,2.1754985589943265,4.116242024116978,5.819198618445132,7.079462633347533,926.0670041975081,916.1538769995932,9.913127197914946,63.103024378284694,6.104399664072275,-1.3153999419958473,7.419799606068123,20.767456054687386,22.262744140624953,22.540967668805788,8.030090332031136,12.598937988281364,974.2261352539062,5.3533935546875,1
2021-01-22,974.2261352539062,976.2337036132812,939.2213745117188,945.8900756835938,30532660,937.5969116210938,916.9586364746094,-2.372103685703632,-2.3721036857036304,-0.24821020820963158,1.6464968096467913,5.78853587429391,930.0316184947253,918.8571677890478,11.174450705677486,56.2044481408192,7.607420898563191,0.46916422611596054,7.1382566724472305,37.0123291015625,24.750231933593703,24.166111537388378,-28.3360595703125,5.3533935546875,939.1290893554688,-6.760986328125,0
2021-01-25,939.1290893554688,939.1290893554688,891.61767578125,895.7711791992188,54207104,945.5208618164063,921.3959594726563,-5.2985962928254775,-5.298596292825475,-7.545011780576438,-5.533654844144498,-2.1648723834281403,923.179530635624,916.7584415536088,6.4210890820152144,47.748062419593495,4.700218774142286,1.3153751357212258,3.38484363842106,47.51141357421875,27.36463012695308,26.89390345982142,-43.35791015625,-6.760986328125,888.38720703125,-7.38397216796875,0
2021-01-27,888.38720703125,888.38720703125,871.3117065429688,874.5421752929688,42370131,939.0921752929687,922.4112609863281,-2.369913701089136,-2.3699137010891325,-7.542937834405539,-9.736115213728901,-6.020635255555873,913.4520595670931,912.9205991662778,0.5314604008152628,48.254591515883135,0.6754507721841492,1.1873902630138107,-0.5119394908296615,17.07550048828125,26.29856567382809,26.631835937499982,-13.84503173828125,-7.38397216796875,867.6889038085938,-6.853271484375,0
2021-01-28,867.6889038085938,887.6026611328125,863.0046997070312,866.0275268554688,34067814,926.0547973632813,918.562353515625,-0.9736120999136058,-0.9736120999136011,-3.3204520344514266,-8.443110978874413,-8.670364523744013,903.9671530247683,908.6575925925679,-4.690439567799558,46.94777446447608,-3.164786150543023,0.31695498030244396,-3.481741130845467,24.59796142578125,26.150891113281226,27.075208391462038,-1.661376953125,-6.853271484375,874.2191162109375,8.19158935546875,1
2021-01-29,874.2191162109375,882.8953247070312,844.544677734375,850.0596313476562,43712383,908.7300903320313,916.2225463867187,-1.8438092338463719,-1.8438092338463719,-2.799469783959929,-5.103038467081145,-12.263025394148963,893.185648689346,903.3305052066668,-10.144856517320818,42.07480617706856,-7.411245077513286,-1.228685031260702,-6.182560046252584,38.35064697265625,28.70067749023435,28.916264125279003,-24.15948486328125,8.19158935546875,858.11279296875,8.05316162109375,1
2021-02-01,858.11279296875,879.1571655273438,852.8516845703125,874.6806640625,34180952,885.507421875,911.5521667480468,2.8963888893077283,2.8963888893077216,0.9991757696721892,0.01583557356565901,-7.528296728309658,889.4846517639768,900.7259741935608,-11.241322429583988,49.836342313811,-8.689713193157559,-2.7208906636400734,-5.968822529517485,26.30548095703125,28.850665283203103,29.468414306640607,16.56787109375,8.05316162109375,883.4260864257812,8.74542236328125,1
2021-02-02,883.4260864257812,895.3096923828125,856.0591430664062,888.7564086914062,41470034,874.3668212890625,909.9438415527344,1.6092438311749935,1.6092438311750001,4.552242680010754,2.624498775283235,-0.7830984821462383,889.3390031494628,899.6378318751831,-10.298828725720341,47.241589326277584,-8.469482507744942,-3.8706090324610476,-4.598873475283895,39.25054931640625,29.376776123046852,30.2035173688616,5.330322265625,8.74542236328125,889.91015625,1.15374755859375,1
2021-02-03,889.91015625,900.84765625,876.8496704101562,890.9946899414062,30301696,874.6714111328125,906.8817932128907,0.2518441755368737,0.251844175536875,1.8651407935708741,4.815551413593533,1.8812717228789966,889.6701405078516,898.8520916993853,-9.181951191533699,49.263184845361266,-8.021866429342026,-4.700860511837243,-3.321005917504783,23.99798583984375,30.099023437499987,30.055180140904017,1.08453369140625,1.15374755859375,887.9256591796875,-3.06903076171875,0
2021-02-04,887.9256591796875,895.3096923828125,879.1571655273438,888.0641479492188,25626981,878.7187622070312,902.3867797851562,-0.328906785334514,-0.3289067853345151,-0.07789094237945493,1.5300994336102658,2.544563586074977,889.3489419961251,897.8713695402791,-8.522427544154084,46.6238815996821,-7.813528219948921,-5.323394053459579,-2.4901341664893417,16.15252685546875,29.10218505859374,30.28263201032366,0.13848876953125,-3.06903076171875,890.7177734375,2.65362548828125,1
2021-02-05,890.7177734375,897.4556884765625,886.0797119140625,887.810302734375,20248046,882.0184936523438,895.3742919921875,-0.028584107964491925,-0.028584107964491068,-0.3573968782283887,-0.10645278591288054,4.440943904943473,889.0412141437752,896.9567271033787,-7.915512959603575,48.669895246253965,-7.581506982207429,-5.7750166392091495,-1.8064903429982797,11.3759765625,28.163037109375,29.323372977120535,-2.907470703125,2.65362548828125,892.1022338867188,4.29193115234375,1
2021-02-08,892.1022338867188,908.6931762695312,890.2562866210938,900.5938720703125,21183400,888.8163818359375,887.1619018554687,1.4398987369897904,1.4398987369897975,1.410903046815748,1.0773557056257488,2.962590699954104,891.3517457290827,897.2873766458273,-5.9356309167445716,46.725114584675694,-6.293553108378319,-5.878723933042983,-0.4148291753353357,18.4368896484375,26.3054931640625,28.387189592633927,8.49163818359375,4.29193115234375,905.4396362304688,4.84576416015625,1
2021-02-09,905.4396362304688,918.2000732421876,900.9861450195312,902.7628784179688,19604141,893.219091796875,883.7929565429688,0.24084178395196854,0.24084178395196165,1.6842083987470335,1.6551428748354802,1.575962726073099,893.63397226686,897.7851495342038,-4.151177267343769,43.56920145290745,-5.039724887663624,-5.710924123967112,0.6711992363034875,17.213928222656364,23.27574462890626,28.09380667550224,-2.6767578125,4.84576416015625,901.6553344726562,-1.1075439453125,0
2021-02-10,901.6553344726562,915.9617919921876,889.4486083984375,911.1390991210938,21234156,895.5681274414062,885.1197692871094,0.9278428370696593,0.927842837069659,1.1709192542626923,2.627678042805792,2.2608899252825276,897.1349976377068,898.9991449511938,-1.864147313487024,41.03278132292395,-3.331759531724174,-5.235091205518524,1.9033316737943498,26.513183593750114,24.219512939453146,28.121826171875018,9.4837646484375,-1.1075439453125,913.7696533203124,2.6305541992186363,1
2021-02-11,913.7696533203124,952.6279907226562,910.1930541992188,948.7052001953124,42539278,900.7369262695313,889.7278442382812,4.122982002468754,4.122982002468745,5.089079632721982,5.342178046848134,6.828454046493193,907.4490381492279,903.5178772461137,3.9311609031142325,45.4948434794538,1.0410847448807772,-3.9798560154386635,5.020940760319441,42.4349365234375,26.003210449218773,29.000326974051355,34.935546875,2.6305541992186363,948.6129150390624,-0.09228515625,0
2021-02-12,948.6129150390624,958.9966430664062,930.1067504882812,942.1980590820312,30497029,912.3159545898437,897.1672241210938,-0.685897063907892,-0.6858970639078921,3.4088055260604877,4.368276721033326,6.126056003196512,914.3988423357886,907.0342574130152,7.364584922773361,49.109718830387465,3.9361499469176806,-2.3966548229673945,6.332804769885075,28.889892578125,25.05713500976565,28.420152936662962,-6.414855957031136,-0.09228515625,945.1747436523438,2.9766845703125,1
2021-02-15,945.1747436523438,951.2896118164062,934.5371704101562,938.0445556640624,15791099,922.9304565429687,905.8734191894531,-0.440831243275491,-0.44083124327548573,-1.1237046586289656,2.9529472030036086,4.158443084634489,919.1279850014434,909.8533754358376,9.274609565605829,63.096928634373384,5.828173408653697,-0.7516891766431761,6.5798625852968735,16.75244140625,24.101831054687523,25.740155901227695,-7.130187988281364,2.9766845703125,941.3442993164062,3.2997436523438637,1
